,ZipCode,BuildingCategoryNum,BuildingClassAtTimeOfSale,TaxClassAtTimeOfSale,Baths,Beds,YearBuilt,NumComplaints3moPointOneMile,NumFelonies3moPointOneMile,min_dist_park,min_dist_subway,halfMileAvgPrice6mo,SalePrice
3123,10034,10,D4,2,1,1,1935,6,8,0.302040728,0.169830999,413605.71,409000
3124,10034,10,D4,2,1,1,1935,0,6,0.302040728,0.169830999,,476000
3125,10001,10,D4,2,1,0,1963,7,12,0.543792162,0.238357145,1667333.24,346000
3126,10001,10,D4,2,1,1,1960,0,0,0.546757314,0.206910268,,485000
3127,10001,10,D4,2,1,1,1960,2,4,0.546757314,0.206910268,1470177.17,815000
3128,10001,10,D4,2,1,1,1963,11,19,0.543792162,0.238357145,1422333.12,812500
3129,10001,10,D4,2,1,1,1930,0,5,0.565310154,0.242443156,,575000
3130,10003,9,C6,2,1,0,1920,19,15,0.170117963,0.278524283,1127790.04,334000
3131,10003,10,D4,2,1,0,1965,34,25,0.152194654,0.104994848,1229620.42,518000
3132,10003,10,D4,2,1,0,1965,0,19,0.152194654,0.104994848,1435394.04,605000
3133,10010,17,R9,2,1,0,1900,7,13,0.298971301,0.363234505,1214956.54,469000
3134,10012,10,D4,2,2,2,1910,0,33,0.430869107,0.045015027,,3115000
3135,10012,10,D4,2,2,2,1910,0,42,0.430869107,0.045015027,,3300000
3136,10012,10,D0,2,3,2,1900,0,8,0.495377652,0.100065905,,3000000
3137,10012,13,R4,2,3,3,2012,20,19,0.353229033,0.100715384,2932505.08,2698362
3138,10012,13,R4,2,3,3,2012,26,19,0.353229033,0.100715384,2903442.78,2902012
3139,10012,13,R4,2,3,3,2012,31,18,0.353229033,0.100715384,2718034.83,2927468
3140,10012,13,R4,2,3,3,2012,31,18,0.353229033,0.100715384,2718034.83,2978837
3141,10012,13,R4,2,3,3,2012,28,18,0.353229033,0.100715384,2564986.52,3003837
3142,10012,13,R4,2,3,3,2012,26,19,0.353229033,0.100715384,2259218.33,3003837
3143,10012,13,R4,2,3,3,2012,26,19,0.353229033,0.100715384,2903442.78,3054750
3144,10012,13,R4,2,3,3,2012,28,18,0.353229033,0.100715384,2564986.52,3054750
3145,10012,13,R4,2,3,3,2012,19,18,0.353229033,0.100715384,2958707.56,7382312
3146,10012,13,R4,2,3,3,2012,19,18,0.353229033,0.100715384,3230985.25,10793450
3147,10012,13,R4,2,3,3,2012,0,19,0.353229033,0.100715384,,3350000
3148,10012,13,R4,2,3,3,2012,0,16,0.353229033,0.100715384,,6500000
3149,10012,13,R4,2,3,3,2012,0,14,0.353229033,0.100715384,,5600375
3150,10012,13,R4,2,3,2,2007,0,6,0.439138617,0.149864372,,2000000
3151,10012,13,R4,2,3,2,2007,10,24,0.439138617,0.149864372,2912661.75,3150000
3152,10012,13,R4,2,3,2,2007,21,16,0.439138617,0.149864372,2977135.36,1650000
