StreetNum,StreetName,AptNum,ZipCode,Beds,Baths
143,WEST 27TH STREET ,5,10001,3,2
365,WEST 20TH STREET ,12C,10011,2,1
320,WEST 17TH STREET ,3FW,10011,1,1
250,WEST 24TH STREET ,5GW,10011,2,1
354,WEST 23RD STREET ,2A,10011,1,1
148,WEST 23RD STREET ,9J,10011,1,1
151,WEST 17TH STREET ,3H,10011,2,2
140,WEST 16TH STREET ,5E,10011,2,2
148,WEST 23RD STREET ,9B,10011,1,1
310,EAST 23RD STREET ,6F,10010,2,1
110,WEST 25TH STREET ,7,10001,3,3
244,WEST 23RD STREET ,3A,10011,1,2
148,WEST 23RD STREET ,2G,10011,1,1
151,WEST 17TH STREET ,1H,10011,2,2
252,7TH AVENUE ,10M,10001,1,1
261,WEST 22ND STREET ,2,10011,0,1
240,WEST 21ST STREET,,10011,5,3
305,WEST 16TH STREET ,PHC,10011,2,2
85,8TH AVENUE ,1F,10011,1,1
201,WEST 21ST STREET ,11J,10011,1,1
308,WEST 30TH STREET ,7C,10001,1,1
250,WEST 15TH STREET ,1H,10011,0,1
133,WEST 22ND STREET ,2E,10011,1,1
308,WEST 30TH STREET ,5E,10001,2,1
77,7TH AVENUE ,18K,10011,1,1
319,WEST 18TH STREET ,2E,10011,1,1
140,WEST 22ND STREET ,4A,10011,1,2
125,WEST 22ND STREET ,1011B,10011,2,2
234,WEST 16TH STREET ,1-D,10011,1,1
151,WEST 17TH STREET ,7H,10011,2,2
201,WEST 21ST STREET ,3H,10011,0,1
231,WEST 26TH STREET ,4,10001,2,2
264,WEST 22ND STREET ,6,10011,1,1
166,WEST 18TH STREET  PH,12,10011,4,4
166,WEST 18TH STREET,,10011,1,2
360,WEST 22ND STREET ,10L,10011,2,1
161,WEST 15TH STREET ,3B,10011,0,1
250,WEST 15TH STREET ,4B,10011,0,1
322,WEST 22ND STREET ,2,10011,1,1
201,WEST 16TH STREET ,15A,10011,2,2
100,WEST 15TH STREET ,3GH,10011,1,1
77,7TH AVENUE ,12P,10011,1,1
655,6TH AVENUE ,5D,10010,2,2
140,WEST 22ND STREET ,4C,10011,1,1
151,WEST 21ST STREET ,1A,10011,2,2
101,WEST 24TH STREET ,31C,10011,1,1
252,7TH AVENUE ,5B,10001,1,1
181,7TH AVENUE ,3A,10011,0,1
245,WEST 14TH STREET ,8A,10011,2,2
101,WEST 24TH STREET ,27E,10011,2,2
245,WEST 14TH STREET ,5C,10011,1,1
121,WEST 19TH STREET ,7B,10011,2,2
129,WEST 22ND STREET ,5A,10011,3,2
261,WEST 25TH STREET ,8C,10001,2,2
255,WEST 23RD STREET ,4HE,10011,2,1
117,WEST 21ST STREET  PH,A,10011,4,3
245,WEST 14TH STREET ,5D,10011,1,1
140,WEST 22ND STREET ,5D,10011,1,1
101,WEST 24TH STREET ,25D,10011,2,2
252,7TH AVENUE  PENTHOUSE,I,10001,3,3
250,WEST 15TH STREET ,2G,10011,1,2
155,WEST 20TH STREET ,5BC,10011,2,2
136,WEST 24TH STREET ,4-R,10011,3,3
250,WEST 15TH STREET ,2B,10011,0,1
350,WEST 20TH STREET ,2R,10011,1,1
270,WEST 17TH STREET ,14A,10011,1,1
252,7TH AVENUE ,3G,10001,2,2
261,WEST 25TH STREET ,6D,10001,3,2
130,WEST 16TH STREET ,7,10011,2,2
261,WEST 25TH STREET ,7E,10001,1,1
130,WEST 19TH STREET ,10C,10011,2,2
116,WEST 22ND STREET ,5,10011,2,2
250,WEST 15TH STREET ,6D,10011,1,1
77,7TH AVENUE ,7V,10011,1,1
85,8TH AVENUE ,5G,10011,0,1
139,WEST 17TH STREET ,2A,10011,3,1
250,WEST 27TH STREET ,6K,10001,1,2
231,WEST 26TH STREET,,10001,2,2
225,WEST 25TH STREET ,5L,10001,1,1
249,WEST 29TH STREET ,3N,10001,2,2
121,WEST 17TH STREET ,2D,10011,1,1
85,8TH AVENUE ,2A,10011,0,1
130,WEST 16TH STREET ,2,10011,1,1
305-313,WEST 18TH STREET ,1K,10011,1,1
252,7TH AVENUE ,17F,10001,2,2
124,WEST 23RD STREET ,11B,10011,3,3
313,WEST 22ND STREET ,6B,10011,2,2
100,WEST 15TH STREET ,4H,10011,0,1
252,7TH AVENUE ,8A,10001,2,2
305,WEST 18TH STREET ,1K,10011,1,1
151,WEST 28TH STREET  RM,2W,10001,2,2
250,WEST 15TH STREET ,4CD,10011,2,2
245,7TH AVENUE ,6C,10001,1,1
252,7TH AVENUE ,7J,10001,1,2
133,WEST 22ND STREET ,11A,10011,0,1
250,WEST 27TH STREET ,2H,10001,1,1
201,WEST 16TH STREET ,16B,10011,1,1
270,WEST 17TH STREET ,PHB,10011,2,2
220,WEST 16TH STREET,,10011,0,8
387,8TH AVENUE,,10001,3,1
340,EAST 23RD STREET ,9E,10010,2,2
270,WEST 17TH STREET ,16F,10011,1,1
345,WEST 14TH STREET ,2E,10014,1,2
201,WEST 21ST STREET ,4GH,10011,1,1
161,WEST 15TH STREET ,6I,10011,2,1
251-253,WEST 19TH STREET ,1D,10011,2,2
350,WEST 20TH STREET ,3F,10011,0,1
154,WEST 15TH STREET ,2A,10011,0,1
355,WEST 29TH STREET ,2B,10001,1,1
221,WEST 21ST STREET ,3A,10011,1,1
345,WEST 21ST STREET ,1D,10011,1,1
121,WEST 19TH STREET ,2E,10011,1,1
101,WEST 24TH STREET ,26B,10011,2,2
329,WEST 19TH STREET ,1,10011,2,1
311,EAST 25TH STREET ,4F,10010,0,1
250,WEST 27TH STREET ,2H,10001,0,1
144-152,WEST 27TH STREET ,6R,10001,4,3
228,WEST 16TH STREET ,3B,10011,1,1
312-320,WEST 23RD STREET ,3B,10011,0,1
240,WEST 23RD STREET ,7C,10011,3,2
312-320,WEST 23RD STREET ,4B,10011,0,1
320,WEST 17TH STREET ,5RW,10011,0,1
270,WEST 17TH STREET ,2G,10011,2,2
130,WEST 19TH STREET,,10011,2,4
130,WEST 16TH STREET ,6,10011,1,1
252,7TH AVENUE ,11H,10001,2,2
140,7TH AVENUE ,1N,10011,1,1
228,WEST 16TH STREET ,5A,10011,1,1
315,7TH AVENUE ,9B,10001,1,1
159,WEST 24TH STREET ,2D,10011,1,1
126-130,WEST 22ND STREET  PENTHOUSE,S,10011,2,2
655,6TH AVENUE ,2J,10010,3,3
126-130,WEST 22ND STREET ,11N,10011,2,2
151,WEST 28TH STREET ,6W,10001,2,2
333,WEST 14TH STREET ,6,10014,3,2
360,WEST 22ND STREET ,6T,10011,2,2
326,WEST 17TH STREET ,1FE,10011,0,1
148,WEST 23RD STREET ,4H,10011,0,1
319,WEST 18TH STREET ,6I,10011,1,1
261,WEST 25TH STREET ,6A,10001,1,1
140,WEST 22ND STREET ,3A,10011,1,2
387,8TH AVENUE ,2,10001,3,1
155,WEST 20TH STREET ,3A,10011,1,1
201,WEST 17TH STREET ,2A,10011,3,2
146-148,WEST 22ND STREET ,7,10011,3,3
