Inc_ID,Year,Neighborhood,BuildingCategoryNum,BuildingCategoryDes,TaxClassAtPresent,Block,Lot,BuildingClassAtPresent,StreetNum,StreetName,AptNum,ZipCode,ResidentialUnits,CommercialUnits,TotalUnits,LandSquareFeet,GrossSquareFeet,YearBuilt,TaxClassAtTimeOfSale,BuildingClassAtTimeOfSale,SalePrice,SaleDate,Beds,Baths,StreetAddress,GeoCode,LEASED
4854,2018,HARLEM-CENTRAL,2,TWO FAMILY DWELLINGS,1,2042,26,B1,322,WEST 140TH STREET,House,10030,2,0,2,1499,3000,1899,1,B1,1800000,5/29/2018,5,4,322 WEST 140TH STREET,"(-73.945316, 40.819946200000004)",0
6244,2018,UPPER EAST SIDE (79-96),10,COOPS - ELEVATOR APARTMENTS,2,1518,49,D4,1349,LEXINGTON AVENUE,3C,10128,0,0,0,0,0,1922,2,D4,1800000,1/11/2018,3,2,1349 LEXINGTON AVENUE,"(-73.95340959999999, 40.781739)",0
6657,2018,UPPER WEST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS,2,1114,61,D4,44,WEST 62ND STREET,22B,10023,0,0,0,0,0,1974,2,D4,1800000,3/5/2018,2,2,44 WEST 62ND STREET,"(-73.9831554, 40.7708583)",0
6728,2018,UPPER WEST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS,2,1125,24,D4,15,WEST 72ND STREET,1C,10023,0,0,0,0,0,1964,2,D4,1800000,10/19/2018,2,2,15 WEST 72ND STREET,"(-73.9768046, 40.777175899999996)",0
6729,2019,UPPER WEST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS,2,1125,24,D4,15,WEST 72ND STREET,1C,10023,0,0,0,0,0,1964,2,D4,1800000,10/19/2018,2,2,15 WEST 72ND STREET,"(-73.9768046, 40.777175899999996)",0
7597,2019,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS,2,767,1312,R4,224,WEST 18TH STREET,4A,10011,0,0,0,0,"1,905",0,2,R4,1800000,03/05/2019,3,2,224 WEST 18TH STREET,"(-73.99927240000001, 40.7413651)",0
7696,2019,CLINTON,13,CONDOS - ELEVATOR APARTMENTS,2,1060,1142,R4,425,WEST 50TH STREET,14C,10019,0,0,0,0,918,1931,2,R4,1800000,07/31/2019,1,1,425 WEST 50TH STREET,"(-73.99017640000001, 40.7641461)",0
7750,2019,EAST VILLAGE,13,CONDOS - ELEVATOR APARTMENTS,2,440,1106,R4,407,EAST 12TH STREET,1RNE,10009,0,0,0,0,"1,121",0,2,R4,1800000,08/14/2019,2,2,407 EAST 12TH STREET,"(-73.98284709999999, 40.729893700000005)",0
7756,2019,EAST VILLAGE,13,CONDOS - ELEVATOR APARTMENTS,2,451,1125,R4,240,EAST 10TH STREET,10B,10003,0,0,0,0,"1,145",0,2,R4,1800000,01/23/2019,1,2,240 EAST 10TH STREET,"(-73.9852597, 40.7288268)",0
8077,2019,GREENWICH VILLAGE-CENTRAL,10,COOPS - ELEVATOR APARTMENTS,2,563,37,D0,67,EAST 11TH STREET,305,10003,0,0,0,0,0,1930,2,D0,1800000,08/30/2019,2,2,67 EAST 11TH STREET,"(-73.9917774, 40.7328398)",0
