Address,latitude,longitude
"6567-UNIT1 LEONARD STREET, New York, NY",40.7190148,-74.0087318
"260 BROADWAY, New York, NY",40.7134104,-74.0069091
"448 WEST 44TH STREET, New York, NY",40.7604154,-73.9937192
"451 WEST 50TH STREET, New York, NY",40.764545,-73.9910232
"453 WEST 43RD STREET, New York, NY",40.7600976,-73.9940635
"411 WEST 44TH STREET, New York, NY",40.760254,-73.9923249
"424 WEST 46 STREET, New York, NY",40.7614024,-73.992169
"424 WEST 46TH STREET, New York, NY",40.7614024,-73.992169
"415 WEST 46TH STREET, New York, NY",40.7614838,-73.9913887
"406 WEST 47TH STREET, New York, NY",40.7616568,-73.9909755
"666 TENTH AVENUE, New York, NY",40.7919062,-73.9722245
"658 TENTH AVENUE, New York, NY",40.7917185,-73.9722903
"438 WEST 49TH STREET, New York, NY",40.763464,-73.9912056
"409 WEST 48TH STREET, New York, NY",40.7627464,-73.9903777
"444 WEST 54TH STREET, New York, NY",40.7666372,-73.9890946
"444 WEST 54 STREET, New York, NY",40.7666372,-73.9890946
"450 WEST 55TH STREET, New York, NY",40.7673703,-73.9888568
"431 WEST 54TH STREET, New York, NY",40.7667524,-73.9885813
"857 9TH AVENUE, New York, NY",40.7671347,-73.986653
"661 TENTH AVENUE, New York, NY",40.7916554,-73.9718108
"521 WEST 47TH STREET, New York, NY",40.7635661,-73.9941366
"502 WEST 55TH, New York, NY",40.7679047,-73.9901481
"407 WEST 40TH STREET, New York, NY",40.7575845,-73.9941366
"434 WEST 47TH STREET, New York, NY",40.7620099,-73.991854
"436 WEST 47, New York, NY",40.7621096,-73.9919066
"465 WEST 57TH STREET, New York, NY",40.76907,-73.987788
"463 WEST 57TH STREET, New York, NY",40.769042,-73.987727
"467 WEST 57TH STREET, New York, NY",40.7690921,-73.9879385
"455 WEST 43RD STREET, New York, NY",40.7601991,-73.9941668
"454 WEST 46 STREET, New York, NY",40.7618731,-73.9933161
"419 WEST 55TH STREET, New York, NY",40.7672585,-73.9875253
"408 WEST 57TH STREET, New York, NY",40.7680768,-73.98663
"457 WEST 57TH STREET, New York, NY",40.7689628,-73.9875712
"457 WEST 57TH, New York, NY",40.7689628,-73.9875712
"405 WEST 57TH STREET, New York, NY",40.7682942,-73.9859873
"421 WEST 57TH STREET, New York, NY",40.7685428,-73.9865153
"415 WEST 57TH, New York, NY",40.76842,-73.9861939
"460 WEST 42ND STREET, New York, NY",40.7593086,-73.9950519
"464 WEST 44TH STREET, New York, NY",40.7606792,-73.9941959
"464 WEST 44TH, New York, NY",40.7606792,-73.9941959
"406 WEST 45TH STREET, New York, NY",40.7603978,-73.9919328
"447 WEST 45TH STREET, New York, NY",40.7613837,-73.9931337
"425 WEST 50TH STREET, New York, NY",40.7641461,-73.9901764
"WEST 50TH STREET, New York, NY",40.7626366,-73.9869403
"432 WEST 52ND STREET, New York, NY",40.7652055,-73.9893727
"426 WEST 52ND STREET, New York, NY",40.7651784,-73.9894536
"414 WEST 54TH STREET, New York, NY",40.766298,-73.9881994
"425 WEST 53RD STREET, New York, NY",40.7659512,-73.9884748
"454 WEST 54TH STREET, New York, NY",40.7668859,-73.9896277
"800 10TH AVENUE, New York, NY",40.7668923,-73.9896685
"800 TENTH AVENUE, New York, NY",40.7961681,-73.9692864
"445 WEST 54TH STREET, New York, NY",40.7670526,-73.9892011
"421 WEST 54TH STREET, New York, NY",40.7667454,-73.9882599
"462 WEST 58 STREET, New York, NY",40.7693647,-73.9875483
"462 WEST 58TH STREET, New York, NY",40.7693647,-73.9875483
"500 WEST 43RD STREET, New York, NY",40.7602629,-73.9955169
"516 WEST 47TH STREET, New York, NY",40.7629393,-73.9938901
"516 WEST 47, New York, NY",40.7629393,-73.9938901
"517 WEST 46TH STREET, New York, NY",40.7628281,-73.9946018
"505 WEST 47TH STREET, New York, NY",40.763305,-73.9937922
"505 WEST 47TH, New York, NY",40.763305,-73.9937922
"545 WEST 48TH STREET, New York, NY",40.7644125,-73.9945268
"540 WEST 49TH STREET, New York, NY",40.764641,-73.994225
"500 WEST 53RD ST, New York, NY",40.7666132,-73.9909877
"635 WEST 42ND STREET, New York, NY",40.7617008,-73.9996228
